survived,name,sex,age,class,embarked
1,"Anderson, Mr. James",0,40,0,0
1,"Archer, Mr. Ernest Edward",0,35,0,0
1,"Bailey, Mr. Henry Joseph",0,46,0,0
1,"Boxhall, Mr. Joseph Groves",0,28,0,1
0,"Bradley, Mr. T.",0,29,0,0
1,"Brice, Mr. Walter Thomas",0,43,0,0
1,"Bright, Mr. Arthur John",0,42,0,1
1,"Buley, Mr. Edward John",0,26,0,0
1,"Clench, Mr. Frederick Charles",0,33,0,0
0,"Clench, Mr. George James",0,31,0,0
0,"Couch, Mr. Frank",0,28,0,0
0,"Davis, Mr. Stephen James",0,39,0,0
1,"Evans, Mr. Alfred Frank",0,25,0,0
1,"Evans, Mr. Frank Oliver",0,27,0,0
1,"Fleet, Mr. Frederick",0,24,0,1
1,"Foley, Mr. John",0,46,0,1
1,"Forward, Mr. James",0,27,0,0
1,"Haines, Mr. Albert",0,31,0,1
1,"Harder, Mr. William",0,39,0,0
1,"Hemming, Mr. Samuel Ernest",0,43,0,1
1,"Hichens, Mr. Robert",0,29,0,0
1,"Hogg, Mr. George Alfred",0,29,0,1
0,"Holman, Mr. Harry",0,29,0,1
1,"Hopkins, Mr. Robert John",0,40,0,0
1,"Horswill, Mr. Albert Edward James",0,33,0,0
1,"Humphreys, Mr. Sidney",0,53,0,0
0,"Hutchinson, Mr. John Hall",0,28,0,1
1,"Jewell, Mr. Archie",0,23,0,1
1,"Jones, Mr. Thomas William",0,32,0,0
0,"King, Mr. Thomas Walter",0,42,0,0
1,"Lee, Mr. Reginald Robinson",0,41,0,0
1,"Lightoller, Mr. Charles Herbert",0,38,0,1
1,"Lowe, Mr. Harold Godfrey",0,29,0,1
1,"Lucas, Mr. William Arthur",0,25,0,0
0,"Lyons, Mr. William Henry",0,26,0,0
0,"Matherson, Mr. David",0,30,0,0
0,"Mathias, Mr. Montague Vincent",0,29,0,0
0,"Maxwell, Mr. John",0,30,0,1
1,"McCarthy, Mr. William",0,47,0,0
1,"McGough, Mr. George Francis 'Paddy'",0,36,0,0
0,"Moody, Mr. James Paul",0,24,0,1
1,"Moore, Mr. George Alfred",0,32,0,0
0,"Murdoch, Mr. William McMaster",0,39,0,1
0,"Nichols, Mr. Alfred William Stanley",0,48,0,1
1,"Olliver, Mr. Alfred John",0,27,0,1
0,"O'Loughlin, Dr. William Francis Norman",0,63,0,1
1,"Osman, Mr. Frank",0,27,0,0
1,"Pascoe, Mr. Charles H.",0,45,0,0
1,"Perkis, Mr. Walter John",0,37,0,1
1,"Peters, Mr. William Chapman",0,26,0,0
1,"Pitman, Mr. Herbert John",0,34,0,1
1,"Poingdestre, Mr. John Thomas",0,33,0,0
1,"Rowe, Mr. George Thomas",0,32,0,1
0,"Sawyer, Mr. Robert James",0,31,0,0
1,"Scarrott, Mr. Joseph George",0,33,0,0
0,"Simpson, Dr. John Edward",0,37,0,0
0,"Smith, Captain. Edward John",0,62,0,0
0,"Smith, Mr. William",0,26,0,0
1,"Symons, Mr. George Thomas Macdonald",0,24,0,0
0,"Tamlyn, Mr. Frederick",0,24,0,0
0,"Taylor, Mr. Charles William Frederick",0,40,0,0
0,"Terrell, Mr. Bertram",0,19,0,0
1,"Vigott, Mr. Philip Francis",0,32,0,0
1,"Weller, Mr. William Clifford",0,30,0,1
0,"Wilde, Mr. Henry Tingle",0,39,0,0
1,"Wynn, Mr. Walter",0,41,0,1
0,"Green, Mr. George",0,20,1,0
0,"Kelly, Mr. James",0,44,1,0
0,"Abrams, Mr. William Thomas",0,34,1,0
0,"Adams, Mr. Robert John",0,26,1,0
1,"Allen, Mr. Ernest Frederick",0,24,1,0
0,"Allen, Mr. Henry",0,30,1,0
0,"Allsop, Mr. Alfred Samuel",0,36,1,1
1,"Avery, Mr. James Albert",0,21,1,0
0,"Bailey, Mr. George Frank",0,46,1,0
0,"Baines, Mr. Richard",0,24,1,0
0,"Bannon, Mr. John Joseph",0,34,1,0
0,"Barlow, Mr. Charles",0,30,1,0
0,"Barnes, Mr. Charles",0,29,1,0
0,"Barnes, Mr. John",0,40,1,0
1,"Barrett, Mr. Frederick",0,28,1,0
0,"Barrett, Mr. Frederick William",0,33,1,0
0,"Beattie, Mr. Joseph",0,35,1,1
1,"Beauchamp, Mr. George William",0,24,1,0
0,"Bell, Mr. Joseph",0,51,1,1
0,"Bendell, Mr. Frank",0,24,1,0
0,"Bennett, Mr. George Alfred",0,30,1,0
0,"Benville, Mr. Edward",0,47,1,0
0,"Bessant, Mr. William Edward Lowe",0,39,1,0
0,"Bevis, Mr. Joseph Henry",0,22,1,0
0,"Biddlecombe, Mr. Reginald Charles",0,31,1,0
0,"Biggs, Mr. Edward Charles",0,20,1,0
0,"Billows, Mr. James",0,20,1,0
1,"Binstead, Mr. Walter William",0,20,1,0
0,"Blackman, Mr. Albert Edward",0,23,1,0
0,"Black, Mr. Alexander",0,28,1,0
0,"Black, Mr. D.",0,41,1,0
1,"Blake, Mr. Percival Albert",0,23,1,0
0,"Blake, Mr. Seaton",0,26,1,1
0,"Blake, Mr. Thomas Henry",0,37,1,0
0,"Blaney, Mr. James",0,32,1,0
0,"Blann, Mr. Eustace Horatius",0,22,1,0
0,"Bott, Mr. William Thomas",0,46,1,0
0,"Bradley, Mr. Patrick Joseph",0,39,1,0
0,"Brewer, Mr. Harry",0,30,1,0
0,"Briant, Mr. Albert",0,34,1,0
0,"Brooks, Mr. J.",0,25,1,0
0,"Brown, Mr. John",0,28,1,0
0,"Brown, Mr. Joseph James",0,25,1,0
0,"Burroughs, Mr. Arthur Peckham",0,35,1,0
0,"Burton, Mr. Edward John",0,35,1,0
0,"Butt, Mr. William John",0,31,1,0
0,"Calderwood, Mr. Hugh",0,30,1,1
0,"Canner, Mr. John",0,40,1,0
0,"Carr, Mr. Richard Stephen",0,27,1,0
0,"Carter (Ball), Mr. James (W.)",0,46,1,0
0,"Casey, Mr. Thomas",0,44,1,0
0,"Castleman, Mr. Edward",0,37,1,0
1,"Cavell, Mr. George Henry",0,22,1,0
0,"Cherrett, Mr. William Victor",0,25,1,0
0,"Chisnall, Mr. George Alexander",0,37,1,1
0,"Chorley, Mr. John Henry",0,25,1,0
1,"Clark, Mr. William",0,40,1,0
0,"Coe, Mr. Harry",0,22,1,0
0,"Coleman, Mr. John",0,58,1,1
1,"Collins, Mr. John",0,38,1,0
1,"Combes, Mr. George",0,34,1,0
0,"Cooper, Mr. Harry",0,26,1,0
0,"Cooper, Mr. James Edward",0,26,1,0
0,"Copperthwaite, Mr. Albert Harry",0,28,1,0
0,"Corcoran, Mr. Dennis",0,33,1,0
0,"Cotton, Mr. Alfred",0,36,1,0
0,"Couch, Mr. Joseph Henry",0,49,1,0
1,"Couper, Mr. Robert Frederick William",0,30,1,0
0,"Coy, Mr. Francis Ernest George",0,27,1,1
0,"Crabb, Mr. Henry James",0,23,1,0
0,"Creese, Mr. Henry Philip",0,45,1,1
1,"Crimmins, Mr. James",0,21,1,0
0,"Cross, Mr. William Alfred",0,44,1,0
0,"Cunningham, Mr. Bernard",0,35,1,0
0,"Curtis, Mr. Arthur",0,26,1,0
0,"Davies, Mr. Thomas",0,33,1,0
0,"Dawson, Mr. Joseph",0,23,1,0
1,"Diaper, Mr. John Joseph",0,27,1,0
0,"Dickson, Mr. William",0,37,1,0
1,"Dilley, Mr. John",0,30,1,0
1,"Dillon, Mr. Thomas Patrick",0,34,1,0
0,"Dodd, Mr. Edward Charles",0,39,1,1
0,"Dodds, Mr. Henry Watson",0,27,1,0
1,"Doel, Mr. Frederick",0,22,1,0
1,"Dore, Mr. Albert James",0,23,1,0
0,"Doyle, Mr. Laurence",0,27,1,0
0,"Duffy, Mr. William Luke",0,36,1,1
0,"Durnil, Mr. James",0,38,1,0
0,"Dyer, Mr. Henry Ryland",0,24,1,1
1,"Dymond, Mr. Frank",0,41,1,0
0,"Eagle, Mr. Alfred James",0,22,1,0
0,"Eastman, Mr. Charles",0,44,1,0
0,"Elliott, Mr. Everett Edward",0,23,1,0
0,"Ervine, Mr. Albert George",0,18,1,1
0,"Evans, Mr. William Thomas",0,33,1,0
0,"Farquharson, Mr. William Edward",0,39,1,1
0,"Fay, Mr. Thomas Joseph",0,30,1,0
0,"Ferrary, Mr. Antonio",0,33,1,0
0,"Ferris, Mr. William",0,39,1,0
1,"Fitzpatrick, Mr. Cecil William",0,21,1,0
0,"Fitzpatrick, Mr. Hugh Joseph",0,29,1,1
1,"Flarty, Mr. Edward",0,52,1,0
0,"Ford, Mr. H.",0,22,1,0
0,"Ford, Mr. Thomas",0,33,1,0
0,"Foster, Mr. Alfred Charles",0,37,1,1
0,"Fraser, Mr. J.",0,30,1,0
0,"Fraser, Mr. James",0,30,1,1
1,"Fredericks, Mr. Walter Francis",0,21,1,0
1,"Fryer, Mr. Albert Ernest",0,29,1,0
0,"Geer, Mr. Alfred Emest",0,26,1,0
1,"Godley, Mr. George Auguste",0,61,1,0
0,"Godwin, Mr. Frederick Charles",0,36,1,0
0,"Golder, Mr. M. W.",0,32,1,0
0,"Gordon, Mr. J.",0,29,1,0
0,"Goree, Mr. Frank",0,41,1,0
0,"Gosling, Mr. Bertram James",0,22,1,0
0,"Gosling, Mr. S.",0,26,1,0
0,"Gradidge, Mr. Ernest Edward",0,22,1,0
1,"Graham, Mr. Thomas Gibson",0,28,1,1
0,"Gregory, Mr. David",0,43,1,0
0,"Gumery, Mr. George",0,24,1,0
1,"Haggan, Mr. John",0,35,1,1
0,"Hallett, Mr. George Alexander",0,23,1,0
0,"Hall, Mr. J.",0,32,1,0
0,"Hands, Mr. Bernard",0,54,1,0
0,"Hannam, Mr. George",0,30,1,0
0,"Harris, Mr. Amos",0,24,1,0
0,"Harris, Mr. Edward John",0,29,1,0
1,"Harris, Mr. Frederick",0,39,1,0
0,"Harrison, Mr. Norman E.",0,38,1,1
0,"Hart, Mr. James",0,54,1,0
0,"Harvey, Mr. Herbert Gifford",0,34,1,1
0,"Head, Mr. Alfred",0,24,1,0
1,"Hebb, Mr. William Albert",0,22,1,0
1,"Hendrickson, Mr. Charles Osker",0,28,1,0
0,"Hesketh, Mr. John Henry",0,33,1,1
0,"Heslin, Mr. James",0,45,1,0
0,"Hill, Mr. James",0,25,1,0
0,"Hinton, Mr. Stephen William",0,31,1,0
0,"Hodge, Mr. Charley",0,29,1,1
0,"Hodges, Mr. W.",0,26,1,0
0,"Hodgkinson, Mr. Leonard",0,46,1,1
0,"Hopgood, Mr. Roland John C.",0,29,1,0
0,"Hosgood, Mr. Richard William",0,23,1,0
0,"Hosking, Mr. George Fox",0,36,1,1
1,"Hunt, Mr. Albert Sylvanus",0,23,1,0
0,"Hunt, Mr. Tom",0,27,1,0
0,"Hurst, Mr. Charles John",0,41,1,0
1,"Hurst, Mr. Walter",0,23,1,0
0,"Ingram, Mr. George",0,19,1,0
0,"Instance, Mr. T.",0,33,1,0
0,"Jackopson, Mr. John Henry",0,30,1,0
0,"Jago, Mr. Joseph",0,59,1,0
0,"James, Mr. Thomas",0,27,1,0
0,"Joas, Mr. N.",0,38,1,0
1,"Judd, Mr. Charles Edward",0,31,1,0
0,"Jukes, Mr. Henry James",0,38,1,0
0,"Jupe, Mr. Boykett Herbert",0,30,1,0
1,"Kasper, Mr. Franz Wilhelm",0,40,1,0
0,"Kearl, Mr. Charles Henry",0,44,1,0
0,"Kearl, Mr. George Edward",0,25,1,0
0,"Kelly, Mr. William",0,23,1,1
1,"Kemish, Mr. George",0,22,1,0
0,"Kemp, Mr. Thomas Hulman",0,43,1,1
0,"Kenchenten, Mr. Frederick Charles",0,37,1,0
0,"Kenzler, Mr. August",0,44,1,1
0,"Kerr, Mr. Thomas Russell",0,26,1,0
0,"Kinsella, Mr. Louis",0,30,1,0
0,"Kirkham, Mr. James",0,43,1,0
1,"Knowles, Mr. Thomas",0,43,1,0
0,"Lahy, Mr. T.",0,41,1,0
0,"Lee, Mr. H.",0,18,1,0
0,"Light, Mr. Christopher William",0,20,1,0
0,"Light, Mr. W.",0,47,1,0
1,"Lindsay, Mr. William Charles",0,30,1,0
0,"Lloyd, Mr. William",0,29,1,0
0,"Long, Mr. Frank",0,31,1,0
0,"Long, Mr. William",0,36,1,0
0,"Mackie, Mr. William Dickson",0,32,1,1
1,"Major, Mr. William James",0,32,1,0
0,"Marett, Mr. George John",0,27,1,0
0,"Marsh, Mr. Frederick Charles",0,40,1,0
0,"Maskell, Mr. Leopold Adolphus",0,25,1,0
1,"Mason, Mr. Frank Archibald Robert",0,32,1,0
0,"Mason, Mr. J.",0,39,1,0
0,"May, Mr. Arthur William",0,22,1,0
0,"May, Mr. Arthur William",0,59,1,0
0,"Mayo, Mr. William Peter",0,28,1,0
1,"Mayzes, Mr. Thomas Jubilee",0,25,1,0
0,"McAndrew, Mr. Thomas Patrick",0,38,1,0
0,"McAndrews, Mr. William",0,23,1,0
0,"McCastlan, Mr. W.",0,38,1,0
1,"McGann, Mr. James",0,29,1,0
0,"McGarvey, Mr. Edward Joseph",0,34,1,0
0,"McGaw, Mr. Erroll Victor",0,30,1,0
0,"McInerney, Mr. Thomas",0,38,1,0
1,"McIntyre, Mr. William",0,21,1,0
0,"McQuillan, Mr. William",0,26,1,1
0,"McRae, Mr. William Alexander",0,32,1,0
0,"McReynolds, Mr. William",0,22,1,1
0,"Middleton, Mr. Alfred Pirrie",0,27,1,1
0,"Milford, Mr. George",0,28,1,0
0,"Millar, Mr. Robert",0,26,1,1
0,"Millar, Mr. Thomas",0,32,1,1
0,"Mintram, Mr. William",0,46,1,0
0,"Mitchell, Mr. Lorenzo (Lawrence) Horace",0,19,1,0
1,"Moore, Mr. John J.",0,29,1,0
0,"Moore, Mr. Ralph",0,22,1,0
0,"Moores, Mr. Richard Henry",0,44,1,0
0,"Morgan, Mr. Arthur Herbert",0,27,1,0
0,"Morgan, Mr. Thomas A.",0,26,1,0
0,"Morris, Mr. Arthur",0,30,1,0
0,"Morris, Mr. William Edward",0,23,1,0
0,"Moyes, Mr. William Young",0,24,1,1
0,"Nettleton, Mr. George Walter",0,30,1,0
0,"Newman, Mr. Charles Thomas",0,33,1,0
0,"Niven, Mr. John Brown",0,30,1,0
0,"Noon, Mr. John Thomas",0,42,1,0
0,"Norris, Mr. James",0,22,1,0
0,"Noss, Mr. Bertram Arthur",0,21,1,0
1,"Noss, Mr. Henry",0,30,1,0
1,"Nutbean, Mr. William",0,30,1,0
1,"O'Connor, Mr. John",0,29,1,0
0,"Olive, Mr. Charles",0,31,1,0
1,"Oliver, Mr. H.",0,32,1,0
1,"Othen, Mr. Charles Alfred",0,36,1,0
0,"Paice, Mr. Richard Charles John",0,32,1,0
0,"Painter, Mr. Charles",0,32,1,0
0,"Painter, Mr. Frank",0,29,1,0
0,"Palles, Mr. Thomas Henry Michael",0,45,1,1
0,"Parsons, Mr. Frank Alfred",0,27,1,1
1,"Pearce, Mr. John",0,28,1,0
1,"Pelham, Mr. George",0,39,1,0
1,"Perry, Mr. Edgar Lionel",0,19,1,0
0,"Perry, Mr. Henry Frederick",0,23,1,0
0,"Phillips, Mr. A. George",0,27,1,0
0,"Pitfield, Mr. William James",0,25,1,0
1,"Podesta, Mr. Alfred John Alexander",0,24,1,0
0,"Pond, Mr. George",0,33,1,0
1,"Prangnell, Mr. George Alexander",0,30,1,0
0,"Preston, Mr. Thomas Charles Alfred",0,20,1,0
1,"Priest, Mr. Arthur John",0,24,1,0
0,"Proudfoot, Mr. Richard Royston",0,22,1,0
0,"Pugh, Mr. Arthur Percy",0,31,1,0
1,"Pusey, Mr. William Robert Holland",0,22,1,0
1,"Ranger, Mr. Thomas",0,29,1,0
0,"Read, Mr. Joseph",0,20,1,0
0,"Reeves, Mr. Frederick Simms",0,34,1,0
0,"Reid, Mr. Robert Thomas",0,30,1,0
1,"Rice, Mr. Charles",0,32,1,0
0,"Richards, Mr. Joseph James",0,30,1,0
0,"Rickman, Mr. George Albert",0,36,1,0
0,"Roberts, Mr. Robert George",0,35,1,0
0,"Rous, Mr. Arthur John",0,26,1,1
0,"Rudd, Mr. Henry",0,24,1,0
0,"Rutter, Mr. Sidney Frank",0,27,1,0
0,"Sangster, Mr. Charles Edward",0,30,1,0
0,"Saunders, Mr. F.",0,22,1,0
0,"Saunders, Mr. W.",0,23,1,0
0,"Saunders, Mr. Walter Ernest",0,23,1,0
0,"Scott, Mr. Archibald",0,41,1,0
1,"Scott, Mr. Frederick William",0,28,1,0
1,"Self, Mr. Albert Charles Edward",0,24,1,0
0,"Self, Mr. Alfred Henry",0,40,1,0
1,"Senior, Mr. Harry",0,31,1,0
0,"Shea, Mr. Thomas",0,32,1,0
1,"Sheath, Mr. Frederick",0,20,1,0
0,"Shepherd, Mr. Jonathan",0,32,1,0
1,"Shiers, Mr. Alfred Charles",0,25,1,0
0,"Shillabeer, Mr. Charles Frederick",0,19,1,0
0,"Skeates, Mr. William",0,23,1,0
0,"Sloan, Mr. Peter",0,31,1,1
0,"Small, Mr. William",0,40,1,0
0,"Smither, Mr. Harry James",0,22,1,0
0,"Smith, Mr. Emest George",0,27,1,0
0,"Smith, Mr. James Muil",0,39,1,1
0,"Snellgrove, Mr. George",0,41,1,0
0,"Snooks, Mr. W.",0,26,1,0
1,"Snow, Mr. Eustace Philip",0,21,1,0
1,"Sparkman, Mr. Henry William",0,36,1,0
0,"Stanbrook, Mr. Augustus George",0,31,1,0
0,"Steel, Mr. Robert Edward",0,30,1,0
0,"Stocker, Mr. Henry Dorey",0,20,1,0
1,"Street, Mr. Thomas Albert",0,25,1,0
0,"Stubbs, Mr. James Henry",0,28,1,0
0,"Sullivan, Mr. S.",0,25,1,0
1,"Taylor, Mr. George",0,24,1,0
0,"Taylor, Mr. J.",0,42,1,0
0,"Taylor, Mr. John Henry",0,49,1,0
1,"Taylor, Mr. William Henry",0,28,1,0
0,"Thomas, Mr. Joseph Wakefield",0,24,1,0
1,"Thompson, Mr. John William",0,35,1,0
1,"Threlfall, Mr. Thomas",0,44,1,0
1,"Thresher, Mr. George Terrill",0,25,1,0
0,"Tizard, Mr. Arthur Leopold",0,31,1,0
0,"Tozer, Mr. James",0,32,1,0
1,"Triggs, Mr. Reuben Robert",0,39,1,0
0,"Turley, Mr. Richard",0,37,1,1
0,"van der Brugge, Mr. Wessel Adrianus",0,38,1,0
0,"Veal, Mr. Arthur",0,36,1,0
0,"Vear, Mr. Henry",0,33,1,0
0,"Vear, Mr. William",0,34,1,0
0,"Ward, Mr. Arthur",0,23,1,1
0,"Ward, Mr. James William",0,31,1,0
0,"Wardner, Mr. Fred Albert",0,40,1,0
0,"Wateridge, Mr. Edward Lewis",0,26,1,0
0,"Watson, Mr. Willim",0,27,1,0
0,"Webber, Mr. Francis Albert",0,31,1,0
0,"Webb, Mr. Samuel Francis",0,28,1,0
0,"White, Mr. Albert",0,21,1,0
1,"White, Mr. Alfred",0,32,1,0
0,"White, Mr. Frank Leonard",0,28,1,0
1,"White, Mr. William George",0,23,1,0
0,"Williams, Mr. Samuel Solomon",0,26,1,0
0,"Wilson, Mr. Herbert 'Bertie'",0,28,1,1
0,"Wilton, Mr. William Edward",0,53,1,0
0,"Witcher, Mr. Albert Ernest",0,39,1,0
0,"Witt, Mr. Henry Dennis",0,37,1,0
0,"Witts, Mr. William Francis",0,35,1,0
0,"Woodford, Mr. Frederick Ernest",0,40,1,0
0,"Wood, Mr. Henry",0,31,1,0
0,"Worthman, Mr. William Henry",0,37,1,0
0,"Wyeth, Mr. James Robert",0,26,1,0
0,"Young, Mr. Francis James",0,32,1,0
0,"Allaria, Sig. Battista Antonio",0,22,2,0
0,"Aspeslagh, Mr. Georges",0,26,2,0
0,"Banfi, Sig. Ugo",0,24,2,0
0,"Basilico, Sig. Giovanni",0,27,2,0
0,"Bazzi, Sig. Narciso",0,33,2,0
0,"Bernardi, Sig. Battista",0,22,2,0
0,"Beux, Mr. David",0,26,2,0
0,"Bietrix, Mr. George Baptiste",0,28,2,0
0,"Blumet, Mr. Jean Baptiste",0,26,2,0
0,"Bochet, Mr. Pierre Giuseppe",0,43,2,0
0,"Bolhuis, Mr. Hendrik",0,27,2,0
1,"Bowker, Miss. Ruth Harwood",1,31,2,0
0,"Casali, Sig. Giulio",0,32,2,0
0,"Chaboisson, Mr. Adrien Finnin",0,25,2,0
0,"Cornaire, Mr. Marcel Raymond André",0,19,2,0
0,"Coutin, Mr. Auguste Louis",0,28,2,0
0,"Crovella, Sig. Luigi",0,17,2,0
0,"Debreucq, Mr. Maurice Emile Victor",0,18,2,0
0,"De Marsico, Sig. Govanni",0,20,2,0
0,"Desvernine, Mr. Louis Gabriel",0,20,2,0
0,"Donati, Sig. Italo Francesco",0,17,2,0
0,"Dornier, Mr. Louis Auguste",0,20,2,0
0,"Fey, Sig. Carlo",0,30,2,0
0,"Fioravante, Sig. Giuseppe Bertoldo",0,23,2,0
0,"Gatti, Sig. Gaspare Antonio Pietro",0,37,2,0
0,"Gilardino, Sig. Vincenzo Pio",0,31,2,0
0,"Grosclaude, Mr. Gérald",0,24,2,0
0,"Jaillet, Mr. Henri Marie",0,38,2,0
0,"Janin, Mr. Claude Marie",0,29,2,0
0,"Jeffery, Mr. William Alfred",0,28,2,0
0,"Jouannault, Mr. Georges Jules",0,24,2,0
1,"Martin, Miss. Mabel Elvina",1,20,2,0
0,"Mattmann, Sig. Adolf",0,20,2,0
1,"Mauge, Mr. Paul Achille Maurice Germain",0,25,2,0
0,"Monrós, Sr. Joan Javier",0,20,2,0
0,"Monteverdi, Sig. Giovanni",0,23,2,0
0,"Nannini, Sig. Francesco Luigi Arcangelo",0,42,2,0
0,"Pachera, Sig. Jean Baptiste Stanislas",0,19,2,0
0,"Pedrini, Sig. Alessandro",0,21,2,0
0,"Peracchio, Sig. Alberto",0,20,2,0
0,"Peracchio, Sig. Sebastiano",0,17,2,0
0,"Perotti, Sig. Alfonso",0,20,2,0
0,"Phillips, Mr. Walter John",0,35,2,0
0,"Piatti, Sig. Louis",0,17,2,0
0,"Piazza, Sig. Pompeo Gaspro",0,33,2,0
0,"Poggi, Sig. Emilio",0,28,2,0
0,"Price, Mr. Ernest Cyril",0,17,2,0
0,"Ratti, Sig. Enrico",0,21,2,0
0,"Ricaldone, Sig. Rinaldo Renato",0,22,2,0
0,"Rigozzi, Sig. Abele",0,22,2,0
0,"Rotta, Sig. Angelo Mario",0,23,2,0
0,"Rousseau, Mr. Pierre",0,49,2,0
0,"Saccaggi, Sig. Giovanni Giuseppe Emilio",0,24,2,0
0,"Salussolia, Sig. Govanni",0,25,2,0
0,"Sartori, Sig. Lazar",0,24,2,0
0,"Scavino, Sig. Candido",0,42,2,0
0,"Sesia, Sig. Giacomo",0,24,2,0
0,"Testoni, Sig. Ercole",0,23,2,0
0,"Tietz, Sig. Carlo/Karl",0,27,2,0
0,"Turvey, Mr. Charles Thomas",0,17,2,0
0,"Urbini, Sig. Roberto",0,20,2,0
